EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54261,5449.012695,1404.067627,85.45,85.30
2,54663,5456.120117,1419.685669,87.09,86.80
3,54720,5351.006836,1399.689331,87.26,86.85
4,54732,5299.836426,1393.146362,87.11,86.55
5,54750,5251.948242,1388.457275,87.30,86.45
6,54753,5229.192871,1385.899292,87.47,86.55
7,54759,5166.459961,1378.528198,87.51,86.35
8,54763,5140.865723,1378.227051,87.59,86.35
9,54772,5123.122559,1381.887695,87.69,86.10
10,54787,5085.701172,1379.089355,87.78,86.40
11,54799,5037.775391,1370.596069,87.75,86.30
12,54800,5014.411133,1373.494995,87.96,86.45
13,54806,4987.140625,1373.000244,88.00,86.25
14,54813,4934.771973,1362.484131,88.05,86.35
15,54808,4913.196777,1361.469116,88.24,86.35
16,54814,4937.640625,1371.322754,88.11,86.35
17,54821,4915.437500,1370.557251,88.12,86.30
18,54840,4863.619141,1368.158447,88.30,86.40
19,54841,4802.956055,1361.155151,88.39,86.25
20,54842,4796.255859,1362.885132,88.40,86.20
21,54845,4777.696777,1364.938110,88.47,86.25
22,54852,4742.795898,1368.254761,88.51,86.05
23,54856,4733.422852,1367.217896,88.54,86.25
24,54858,4706.374023,1365.658447,88.65,86.15
25,54861,4650.612305,1360.288086,88.66,86.75
26,54860,4638.952148,1360.281738,88.76,86.55
27,54862,4644.753418,1361.873901,88.78,86.20
28,54868,4647.243164,1371.402588,88.82,86.30
29,54870,4652.995117,1379.668457,88.95,86.20
30,54868,4639.484375,1381.769653,88.91,86.10
31,54865,4594.063477,1376.661133,88.97,86.55
32,54864,4564.478027,1372.516724,88.65,85.80
33,54864,4590.181152,1385.871948,89.10,86.20
34,54859,4542.881836,1382.054565,89.25,86.45
35,54871,4531.592773,1381.959351,89.19,86.20
36,54874,4477.336426,1374.185547,89.06,85.80
37,54873,4542.066895,1390.880127,89.29,86.05
38,54872,4506.884277,1388.820923,89.36,86.40
39,54874,4387.541016,1364.088867,89.03,85.80
40,54875,4475.170898,1390.350342,89.70,86.65
41,54876,4383.899414,1376.272827,89.62,86.60
42,54878,4361.554688,1375.152344,89.65,86.60
43,54882,4428.351562,1399.080933,89.90,86.35
44,54887,4260.069824,1362.013184,89.75,86.60
45,54887,4290.147949,1371.601318,90.04,86.60
46,54913,4318.662598,1384.047729,89.88,86.95
47,54936,4294.354980,1384.444580,90.03,86.60
48,54938,4270.140137,1384.401001,90.01,86.55
49,54936,4190.814941,1362.474365,90.11,86.55
50,54936,4276.890137,1381.873779,89.43,86.20
