EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54103,5238.487793,1384.698242,87.71,86.05
2,54356,4800.821777,1304.957397,87.79,86.20
3,54419,4815.288574,1324.655151,88.22,86.30
4,54458,4737.958984,1311.898926,89.04,87.20
5,54465,4562.455078,1282.356812,89.20,87.40
6,54471,4500.641113,1270.610596,89.29,87.20
7,54478,4382.515137,1251.727051,89.75,87.70
8,54481,4410.591309,1259.910889,89.93,87.80
9,54489,4383.437012,1259.380005,90.11,87.70
10,54503,4316.500000,1249.656738,90.21,87.90
11,54540,4306.403320,1252.846802,90.10,87.85
12,54573,4185.342773,1229.907471,90.26,87.65
13,54574,4250.558105,1250.803833,90.36,87.80
14,54578,4197.628906,1247.314087,90.35,87.60
15,54578,4150.531738,1237.177856,90.31,87.70
16,54573,4116.117188,1235.809204,90.60,87.50
17,54595,4073.623047,1233.190674,90.54,87.45
18,54597,3995.111084,1221.695557,90.69,87.75
19,54601,3987.901367,1222.822388,90.78,87.70
20,54597,3988.165527,1229.960449,90.81,87.70
21,54601,3887.739990,1218.940063,91.00,87.55
22,54604,3838.832764,1213.279663,91.05,87.50
23,54602,3823.786133,1205.407959,91.25,88.30
24,54607,3749.816406,1203.264648,91.14,87.80
25,54610,3769.695801,1216.615845,91.01,87.75
26,54613,3699.228760,1192.339111,91.29,87.90
27,54610,3784.736084,1228.542236,91.24,87.70
28,54617,3683.055908,1202.251831,91.19,87.90
29,54620,3681.847656,1202.843384,91.22,87.60
30,54625,3754.904541,1231.956665,91.34,87.80
31,54622,3905.617188,1266.526489,91.39,87.80
32,54628,3677.503418,1222.193604,91.35,87.60
33,54627,3620.627686,1221.443970,91.31,87.90
34,54629,3594.771240,1212.656006,91.49,87.65
35,54627,3673.436768,1232.763794,91.07,87.50
36,54629,3862.891113,1266.087524,91.18,87.65
37,54626,3565.623779,1221.009644,91.55,88.05
38,54635,3538.980957,1228.408691,91.65,87.85
39,54637,3566.495850,1242.013184,91.40,87.60
40,54635,3550.035400,1261.518799,91.40,87.50
41,54640,3542.955322,1239.322876,91.57,87.65
42,54636,3519.692627,1250.758179,91.50,87.85
43,54639,3541.735107,1232.686401,91.66,88.15
44,54641,3561.739014,1262.656982,91.61,88.15
45,54643,3536.112061,1255.255249,91.53,88.00
46,54649,3433.821533,1257.141602,91.31,87.65
47,54648,3518.127686,1282.031616,91.34,87.90
48,54656,3579.071289,1301.654053,91.35,88.00
49,54655,3431.227051,1260.131714,91.76,88.00
50,54675,3426.847656,1262.807007,91.64,87.85
