EPOCH,ms,train_loss,val_loss,train_acc,val_acc
1,54389,5441.351074,1391.577637,85.90,85.65
2,54699,4969.670410,1305.156372,87.46,87.35
3,54749,4840.289062,1276.032227,87.90,87.40
4,54800,4619.338379,1253.880127,88.12,87.15
5,54823,4578.371582,1260.007446,88.45,87.45
6,54825,4259.164551,1203.021240,89.01,88.00
7,54840,4210.315430,1202.391235,89.26,88.05
8,54854,4027.455811,1190.268433,89.96,88.25
9,54862,4027.534424,1200.474854,89.89,88.50
10,54869,3932.779053,1199.105835,89.78,88.25
11,54889,3884.374756,1192.598999,89.84,88.40
12,54899,3854.477051,1209.159058,89.96,88.00
13,54904,3782.726562,1187.122681,90.04,87.85
14,54902,3781.876465,1186.032471,90.25,88.15
15,54907,3829.802490,1191.463989,90.36,88.30
16,54912,3774.878418,1193.584229,90.32,87.85
17,54915,3696.126709,1182.323608,90.74,88.70
18,54913,3646.436279,1174.973633,90.50,88.45
19,54915,3608.875977,1168.798706,90.64,88.40
20,54919,3588.208496,1169.442993,90.84,88.95
21,54928,3688.360840,1175.603027,90.80,88.55
22,54925,3644.638184,1180.318726,90.76,88.50
23,54929,3591.986328,1175.372314,90.86,88.10
24,54940,3623.328613,1175.671631,91.26,88.55
25,54940,3699.569336,1198.497314,90.78,87.95
26,54940,3555.818604,1157.432007,91.22,89.20
27,54949,3606.330322,1162.222656,91.24,89.00
28,54953,3521.803711,1150.754883,91.35,88.85
29,54958,3470.401367,1154.537109,91.20,89.25
30,54959,3431.667236,1170.665283,91.66,89.10
31,54959,3513.157715,1177.575562,90.50,88.60
32,54958,3468.664551,1165.420654,91.68,88.85
33,54965,3367.144531,1139.828247,91.59,89.35
34,54967,3568.680176,1169.839722,91.38,88.90
35,55025,3306.644287,1141.489746,91.66,89.20
36,55041,3345.434570,1165.178711,91.34,88.85
37,55050,3247.163574,1135.828857,91.76,89.40
38,55051,3239.104248,1139.062256,91.74,89.50
39,55046,3187.749023,1127.754883,92.03,89.30
40,55055,3279.372314,1182.653687,91.68,89.20
41,55053,3151.378906,1141.576172,92.15,89.45
42,55054,3164.384521,1150.036255,91.72,89.10
43,55058,3131.780029,1153.458496,91.59,89.00
44,55058,3445.083008,1173.841553,90.75,88.30
45,55066,3176.502686,1131.424683,92.16,89.85
46,55067,3324.906494,1152.874512,92.07,89.35
47,55069,3169.722168,1164.059692,91.76,89.15
48,55073,3076.769287,1121.610229,92.16,89.45
49,55072,3205.089844,1179.114746,91.76,88.80
50,55074,3098.421387,1145.615112,92.16,89.30
