,Benign,No DDoS,DDoS icmp flood,DDoS UDP flood,DDoS TCP flood,DDoS PSHACK,DDoS Syn flood,DDoS RSTFIN flood,DDoS Synonymous ip flood,DDoS ICMP fragmentation,DDoS UDP fragmentation,DDoS ACK Fragmentation,Mirai,MITM,Reconnaissance,Vulnerability scan
Benign,120.333333,4.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333
No DDoS,9.666667,107.666667,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,3.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS icmp flood,0.000000,0.000000,124.666667,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS UDP flood,0.000000,0.333333,0.000000,124.333333,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS TCP flood,0.000000,0.000000,0.000000,0.000000,125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS PSHACK,0.000000,0.000000,0.000000,0.000000,0.000000,125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS Syn flood,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.333333,0.000000,73.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS RSTFIN flood,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.666667,124.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS Synonymous ip flood,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,105.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS ICMP fragmentation,0.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.333333,0.000000,0.000000,123.333333,0.000000,0.000000,0.000000,0.000000,0.333333,0.333333
DDoS UDP fragmentation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,123.666667,0.333333,0.000000,0.000000,0.666667,0.000000
DDoS ACK Fragmentation,0.333333,0.333333,0.000000,0.000000,0.000000,0.333333,0.666667,0.000000,0.000000,0.000000,0.000000,123.333333,0.000000,0.000000,0.000000,0.000000
Mirai,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.333333,0.000000,0.333333,1.000000
MITM,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,105.000000,10.333333,9.000000
Reconnaissance,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,9.333333,79.000000,35.000000
Vulnerability scan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.333333,22.333333,97.333333
