,precision,recall,f1-score,support
Benign,0.9236641221374046,0.968,0.9453125,125.0
No DDoS,0.9438202247191011,0.672,0.7850467289719626,125.0
DDoS icmp flood,1.0,1.0,1.0,125.0
DDoS UDP flood,0.9393939393939394,0.992,0.9649805447470817,125.0
DDoS TCP flood,0.9124087591240876,1.0,0.9541984732824428,125.0
DDoS PSHACK,0.9920634920634921,1.0,0.9960159362549801,125.0
DDoS Syn flood,0.48046875,0.984,0.6456692913385826,125.0
DDoS RSTFIN flood,1.0,0.992,0.9959839357429718,125.0
DDoS Synonymous ip flood,0.7777777777777778,0.056,0.1044776119402985,125.0
DDoS ICMP fragmentation,0.9838709677419355,0.976,0.9799196787148594,125.0
DDoS UDP fragmentation,1.0,0.992,0.9959839357429718,125.0
DDoS ACK Fragmentation,0.991869918699187,0.976,0.9838709677419355,125.0
Mirai,1.0,1.0,1.0,125.0
MITM,0.8947368421052632,0.816,0.8535564853556485,125.0
Reconnaissance,0.59375,0.76,0.6666666666666666,125.0
Vulnerability scan,0.7425742574257426,0.6,0.6637168141592921,125.0
accuracy,,,0.8615,2000.0
macro avg,0.8860249406992456,0.8614999999999999,0.845962473166231,2000.0
weighted avg,0.8860249406992456,0.8615,0.8459624731662309,2000.0
